,Date,Confirm Time,Block Size,Cost/TXN,Difficulty,TXN Vol,Hash Rate,Market Cap,Miners Rev,TXN/Block,Number of TXN,Unique Addresses,Total Bitcoin,TXN Fees,Trade Vol,TXN/Trade Ratio,Price,Price Binary
0,2016-07-17,7.76,0.68,7.32,213398925331.0,129816925.1,1665474.54,10453324633.1,1302095.02,1160.45,182192.0,356533.0,15763137.5,50.67,13030366.55,60.582145482600005,679.051,1
1,2016-07-16,8.98,0.79,5.38,213398925331.0,187503475.3,1432095.94,10514437454.2,1127082.34,1600.59,216081.0,367739.0,15761175.0,55.22,26928546.83,93.1540589114,663.541,0
2,2016-07-15,9.23,0.79,5.49,213398925331.0,164674255.32,1506352.77,10423167437.6,1175290.03,1553.9,220655.0,367953.0,15759487.5,58.38,34318017.31,76.3547780853,664.876,1
3,2016-07-14,10.73,0.81,5.06,213398925331.0,187860897.96,1379055.35,10366219391.2,1070321.94,1677.63,218093.0,367252.0,15757725.0,53.55,53026862.77,86.47388884360001,659.636,1
4,2016-07-13,9.26,0.77,5.69,213398925331.0,193691457.42,1516960.89,10682486713.9,1213263.1,1531.7,219034.0,379937.0,15756112.5,51.17,48343367.13,39.4733175548,653.934,0
5,2016-07-12,7.96,0.79,5.49,213398925331.0,166782085.8,1516960.89,10240153706.8,1162507.11,1525.09,218089.0,395742.0,15754325.0,57.33,26402272.48,57.0098951949,664.839,1
6,2016-07-11,6.79,0.58,7.94,213398925331.0,102817416.16,1654866.42,10235998867.5,1267110.0,1042.35,162608.0,325550.0,15752537.5,38.56,28357316.1,80.8989332947,649.027,0
7,2016-07-10,7.68,0.65,11.14,213398925331.0,141090463.31,1580609.59,10262295285.6,2036093.74,1244.32,185405.0,355380.0,15750587.5,47.4,78574448.68,62.3646137447,649.962,0
8,2016-07-09,9.19,0.77,11.56,213398925331.0,192407460.74,1538177.12,10423237155.0,2401373.19,1453.11,210701.0,363919.0,15747450.0,57.25,46643049.37,32.8783690106,650.627,0
9,2016-07-08,8.75,0.82,10.28,213398925331.0,211036735.59,1463920.3,10012128070.5,2195264.88,1571.1,216812.0,364414.0,15743825.0,56.79,93994828.71,31.7815660083,664.743,1
10,2016-07-07,9.56,0.79,11.19,213398925331.0,183599980.66,1485136.53,10643343672.0,2367306.17,1533.5,214691.0,373956.0,15740400.0,55.67,27360174.45,24.1977632793,639.761,0
11,2016-07-06,8.51,0.78,11.43,213398925331.0,195754949.85,1538177.12,10505010226.0,2420500.04,1482.47,214959.0,383808.0,15736900.0,55.87,31161665.02,79.9596643707,676.113,1
